date,v.name,v.score,h.name,h.score
10/30/12,Washington Wizards,84,Cleveland Cavaliers,94
10/30/12,Dallas Mavericks,99,Los Angeles Lakers,91
10/30/12,Boston Celtics,107,Miami Heat,120
10/31/12,Sacramento Kings,87,Chicago Bulls,93
10/31/12,Houston Rockets,105,Detroit Pistons,96
10/31/12,Memphis Grizzlies,92,Los Angeles Clippers,101
10/31/12,San Antonio Spurs,99,New Orleans Hornets,95
10/31/12,Denver Nuggets,75,Philadelphia 76ers,84
10/31/12,Golden State Warriors,87,Phoenix Suns,85
10/31/12,Los Angeles Lakers,106,Portland Trail Blazers,116
10/31/12,Indiana Pacers,90,Toronto Raptors,88
10/31/12,Dallas Mavericks,94,Utah Jazz,113
11/01/12,Oklahoma City Thunder,84,San Antonio Spurs,86
11/02/12,Houston Rockets,109,Atlanta Hawks,102
11/02/12,Milwaukee Bucks,99,Boston Celtics,88
11/02/12,Indiana Pacers,89,Charlotte Bobcats,90
11/02/12,Chicago Bulls,115,Cleveland Cavaliers,86
11/02/12,Memphis Grizzlies,104,Golden State Warriors,94
11/02/12,Los Angeles Clippers,105,Los Angeles Lakers,95
11/02/12,Sacramento Kings,80,Minnesota Timberwolves,92
11/02/12,Utah Jazz,86,New Orleans Hornets,88
11/02/12,Miami Heat,84,New York Knicks,104
11/02/12,Portland Trail Blazers,92,Oklahoma City Thunder,106
11/02/12,Denver Nuggets,89,Orlando Magic,102
11/02/12,Detroit Pistons,89,Phoenix Suns,92
11/03/12,Toronto Raptors,100,Brooklyn Nets,107
11/03/12,New Orleans Hornets,89,Chicago Bulls,82
11/03/12,Charlotte Bobcats,99,Dallas Mavericks,126
11/03/12,Portland Trail Blazers,95,Houston Rockets,85
11/03/12,Sacramento Kings,98,Indiana Pacers,106
11/03/12,Golden State Warriors,114,Los Angeles Clippers,110
11/03/12,Denver Nuggets,116,Miami Heat,119
11/03/12,Cleveland Cavaliers,102,Milwaukee Bucks,105
11/03/12,Utah Jazz,100,San Antonio Spurs,110
11/03/12,Boston Celtics,89,Washington Wizards,86
11/04/12,Detroit Pistons,79,Los Angeles Lakers,108
11/04/12,Philadelphia 76ers,84,New York Knicks,100
11/04/12,Atlanta Hawks,104,Oklahoma City Thunder,95
11/04/12,Phoenix Suns,94,Orlando Magic,115
11/04/12,Minnesota Timberwolves,86,Toronto Raptors,105
11/05/12,Minnesota Timberwolves,107,Brooklyn Nets,96
11/05/12,Portland Trail Blazers,91,Dallas Mavericks,114
11/05/12,Cleveland Cavaliers,108,Los Angeles Clippers,101
11/05/12,Utah Jazz,94,Memphis Grizzlies,103
11/05/12,Phoenix Suns,99,Miami Heat,124
11/05/12,New York Knicks,110,Philadelphia 76ers,88
11/05/12,Golden State Warriors,92,Sacramento Kings,94
11/05/12,Indiana Pacers,79,San Antonio Spurs,101
11/06/12,Orlando Magic,93,Chicago Bulls,99
11/06/12,Detroit Pistons,97,Denver Nuggets,109
11/06/12,Toronto Raptors,88,Oklahoma City Thunder,108
11/07/12,Indiana Pacers,86,Atlanta Hawks,89
11/07/12,Washington Wizards,94,Boston Celtics,100
11/07/12,Phoenix Suns,117,Charlotte Bobcats,110
11/07/12,Toronto Raptors,104,Dallas Mavericks,109
11/07/12,Cleveland Cavaliers,96,Golden State Warriors,106
11/07/12,Denver Nuggets,93,Houston Rockets,87
11/07/12,San Antonio Spurs,84,Los Angeles Clippers,106
11/07/12,Brooklyn Nets,73,Miami Heat,103
11/07/12,Memphis Grizzlies,108,Milwaukee Bucks,90
11/07/12,Orlando Magic,75,Minnesota Timberwolves,90
11/07/12,Philadelphia 76ers,77,New Orleans Hornets,62
11/07/12,Detroit Pistons,103,Sacramento Kings,105
11/07/12,Los Angeles Lakers,86,Utah Jazz,95
11/08/12,Oklahoma City Thunder,97,Chicago Bulls,91
11/08/12,Los Angeles Clippers,103,Portland Trail Blazers,90
11/09/12,Miami Heat,95,Atlanta Hawks,89
11/09/12,Philadelphia 76ers,106,Boston Celtics,100
11/09/12,Utah Jazz,84,Denver Nuggets,104
11/09/12,Golden State Warriors,77,Los Angeles Lakers,101
11/09/12,Houston Rockets,85,Memphis Grizzlies,93
11/09/12,Indiana Pacers,94,Minnesota Timberwolves,96
11/09/12,Charlotte Bobcats,99,New Orleans Hornets,107
11/09/12,Dallas Mavericks,94,New York Knicks,104
11/09/12,Detroit Pistons,94,Oklahoma City Thunder,105
11/09/12,Brooklyn Nets,107,Orlando Magic,68
11/09/12,Cleveland Cavaliers,105,Phoenix Suns,107
11/09/12,San Antonio Spurs,97,Sacramento Kings,86
11/09/12,Milwaukee Bucks,101,Washington Wizards,91
11/10/12,Dallas Mavericks,97,Charlotte Bobcats,101
11/10/12,Minnesota Timberwolves,80,Chicago Bulls,87
11/10/12,Denver Nuggets,107,Golden State Warriors,101
11/10/12,Detroit Pistons,82,Houston Rockets,96
11/10/12,Washington Wizards,85,Indiana Pacers,89
11/10/12,Boston Celtics,96,Milwaukee Bucks,92
11/10/12,San Antonio Spurs,112,Portland Trail Blazers,109
11/10/12,Philadelphia 76ers,93,Toronto Raptors,83
11/10/12,Phoenix Suns,81,Utah Jazz,94
11/11/12,Orlando Magic,74,Brooklyn Nets,82
11/11/12,Atlanta Hawks,76,Los Angeles Clippers,89
11/11/12,Sacramento Kings,90,Los Angeles Lakers,103
11/11/12,Miami Heat,86,Memphis Grizzlies,104
11/11/12,Cleveland Cavaliers,91,Oklahoma City Thunder,106
11/12/12,Boston Celtics,101,Chicago Bulls,95
11/12/12,Minnesota Timberwolves,90,Dallas Mavericks,82
11/12/12,Oklahoma City Thunder,92,Detroit Pistons,90
11/12/12,Miami Heat,113,Houston Rockets,110
11/12/12,Milwaukee Bucks,105,Philadelphia 76ers,96
11/12/12,Denver Nuggets,100,Phoenix Suns,110
11/12/12,Atlanta Hawks,95,Portland Trail Blazers,87
11/12/12,Utah Jazz,140,Toronto Raptors,133
11/13/12,Cleveland Cavaliers,101,Brooklyn Nets,114
